,Age_EDC3 (yrs BP),CO2 (ppmv),source,Temperature,CH4 [ppbv],CO2 [ppmv]
0,-51.02999999999997,368.02248790241714,"Law Dome (Rubino et al., 2013)",,,
1,-50.0,,,,,
2,-48.0,361.78073658846415,"Law Dome (Rubino et al., 2013)",,,
3,-46.27927212999998,359.6477931830841,"Law Dome (Rubino et al., 2013)",,,
4,-44.40564212000004,357.10673969933646,"Law Dome (Rubino et al., 2013)",,,
5,-43.54769,,,,,
6,-43.07999999999993,353.94668533391206,"Law Dome (Rubino et al., 2013)",,,
7,-42.313517060000095,353.72423581425323,"Law Dome (Rubino et al., 2013)",,,
8,-41.134816709999996,352.41630841973364,"Law Dome (Rubino et al., 2013)",,,
9,-39.97139973000003,350.8086522409729,"Law Dome (Rubino et al., 2013)",,,
10,-39.407967809999946,349.8002703595191,"Law Dome (Rubino et al., 2013)",,,
11,-38.966334940000024,349.27841464963046,"Law Dome (Rubino et al., 2013)",,,
12,-38.06951193000009,347.59740561133145,"Law Dome (Rubino et al., 2013)",,,
13,-37.41829,,,,,
14,-37.20859160000009,345.44120600376243,"Law Dome (Rubino et al., 2013)",,,
15,-36.616016200000104,344.71776861346984,"Law Dome (Rubino et al., 2013)",,,
16,-36.14322833999995,343.9736767615952,"Law Dome (Rubino et al., 2013)",,,
17,-35.76218001999996,343.1107520502481,"Law Dome (Rubino et al., 2013)",,,
18,-34.916752950000046,342.0519764062061,"Law Dome (Rubino et al., 2013)",,,
19,-33.07684986999993,341.3292967441024,"Law Dome (Rubino et al., 2013)",,,
20,-33.02591865999989,339.4604885213476,"Law Dome (Rubino et al., 2013)",,,
21,-31.61153,,,,,
22,-29.14258988000006,334.84855553252345,"Law Dome (Rubino et al., 2013)",,,
23,-26.796750369999927,335.54695345792317,"Law Dome (Rubino et al., 2013)",,,
24,-26.67036968000002,332.3689555204767,"Law Dome (Rubino et al., 2013)",,,
25,-25.570921230000067,332.3656863259178,"Law Dome (Rubino et al., 2013)",,,
26,-24.51395,,,,,
27,-24.133413320000045,331.54980566810485,"Law Dome (Rubino et al., 2013)",,,
28,-22.088334380000106,328.41588801232757,"Law Dome (Rubino et al., 2013)",,,
29,-22.041017810000085,330.3504422217994,"Law Dome (Rubino et al., 2013)",,,
30,-20.872681979999925,326.3093257445175,"Law Dome (Rubino et al., 2013)",,,
31,-20.65630200999999,326.6491948420144,"Law Dome (Rubino et al., 2013)",,,
32,-20.637150239999983,324.9059936630005,"Law Dome (Rubino et al., 2013)",,,
33,-20.22168347999991,324.5570616692709,"Law Dome (Rubino et al., 2013)",,,
34,-19.423218019999922,324.70605757685405,"Law Dome (Rubino et al., 2013)",,,
35,-18.98437082999999,325.07717594979096,"Law Dome (Rubino et al., 2013)",,,
36,-18.813869489999888,324.08551736938495,"Law Dome (Rubino et al., 2013)",,,
37,-18.53874855999993,320.38065078205506,"Law Dome (Rubino et al., 2013)",,,
38,-17.73776,,,,,
39,-16.78904407999994,320.4923553617883,"Law Dome (Rubino et al., 2013)",,,
40,-16.54523532999997,322.1747797142201,"Law Dome (Rubino et al., 2013)",,,
41,-15.866011569999955,320.98156635342656,"Law Dome (Rubino et al., 2013)",,,
42,-15.297878110000056,319.1950596158425,"Law Dome (Rubino et al., 2013)",,,
43,-15.226349230000096,319.8929363220089,"Law Dome (Rubino et al., 2013)",,,
44,-13.564495589999979,319.12347301713646,"Law Dome (Rubino et al., 2013)",,,
45,-13.200018279999995,319.06606441856763,"Law Dome (Rubino et al., 2013)",,,
46,-12.6152798600001,318.61106261456985,"Law Dome (Rubino et al., 2013)",,,
47,-12.542091540000001,317.4481354802273,"Law Dome (Rubino et al., 2013)",,,
48,-12.395341090000102,319.1381732232432,"Law Dome (Rubino et al., 2013)",,,
49,-12.321916399999964,317.5216280215933,"Law Dome (Rubino et al., 2013)",,,
50,-11.71589999999992,316.59261011941027,"Law Dome (Rubino et al., 2013)",,,
51,-10.95945,,,,,
52,-10.568661719999909,318.20658038167187,"Law Dome (Rubino et al., 2013)",,,
53,-10.31404479999992,313.0933880516286,"Law Dome (Rubino et al., 2013)",,,
54,-9.092695849999927,311.98389241638387,"Law Dome (Rubino et al., 2013)",,,
55,-8.56297111999993,316.3340200101121,"Law Dome (Rubino et al., 2013)",,,
56,-8.102785849999918,316.1014028920352,"Law Dome (Rubino et al., 2013)",,,
57,-7.872424290000026,314.57216625352925,"Law Dome (Rubino et al., 2013)",,,
58,-7.257538840000052,315.2703546298443,"Law Dome (Rubino et al., 2013)",,,
59,-7.203373640000109,316.3253801823537,"Law Dome (Rubino et al., 2013)",,,
60,-7.103747099999964,314.4370577968855,"Law Dome (Rubino et al., 2013)",,,
61,-6.157200000000103,315.342073915026,"Law Dome (Rubino et al., 2013)",,,
62,-4.795964650000087,314.7139613439055,"Law Dome (Rubino et al., 2013)",,,
63,-3.791544359999989,313.1710570119369,"Law Dome (Rubino et al., 2013)",,,
64,-3.7139373699999396,312.8003637775662,"Law Dome (Rubino et al., 2013)",,,
65,-3.5585613600001125,312.22274083278216,"Law Dome (Rubino et al., 2013)",,,
66,-3.20879,,,,,
67,-2.3839181700000154,312.1844627182946,"Law Dome (Rubino et al., 2013)",,,
68,-0.25090000000000146,312.0017776102837,"Law Dome (Rubino et al., 2013)",,,
69,0.33152825999991364,313.6602846482332,"Law Dome (Rubino et al., 2013)",,,
70,1.225945319999937,309.6939936066409,"Law Dome (Rubino et al., 2013)",,,
71,2.2935130999999274,311.57094999761165,"Law Dome (Rubino et al., 2013)",,,
72,3.3366031699999894,310.36290017732523,"Law Dome (Rubino et al., 2013)",,,
73,3.3731399599998895,312.8663621464335,"Law Dome (Rubino et al., 2013)",,,
74,4.38416084000005,312.5596867804179,"Law Dome (Rubino et al., 2013)",,,
75,4.442779830000063,311.9671347125998,"Law Dome (Rubino et al., 2013)",,,
76,4.6126112699998885,311.8114965345337,"Law Dome (Rubino et al., 2013)",,,
77,5.037190190000047,310.440204448011,"Law Dome (Rubino et al., 2013)",,,
78,5.2356770799999595,311.2775834649954,"Law Dome (Rubino et al., 2013)",,,
79,5.48176,,,,,
80,5.490957340000023,310.224309572614,"Law Dome (Rubino et al., 2013)",,,
81,6.426352059999999,312.36164019507424,"Law Dome (Rubino et al., 2013)",,,
82,7.792658919999894,311.878053578341,"Law Dome (Rubino et al., 2013)",,,
83,7.964587149999943,312.8437329659678,"Law Dome (Rubino et al., 2013)",,,
84,8.22030175000009,312.393938618938,"Law Dome (Rubino et al., 2013)",,,
85,9.160584629999903,311.80226771747726,"Law Dome (Rubino et al., 2013)",,,
86,9.245991239999967,307.7386635857962,"Law Dome (Rubino et al., 2013)",,,
87,10.030999999999949,309.80091502114107,"Law Dome (Rubino et al., 2013)",,,
88,10.408172680000007,310.9510867188181,"Law Dome (Rubino et al., 2013)",,,
89,10.77751491999993,311.21179432912515,"Law Dome (Rubino et al., 2013)",,,
90,11.03227736000008,310.4566675193962,"Law Dome (Rubino et al., 2013)",,,
91,11.838400000000092,308.47982780846024,"Law Dome (Rubino et al., 2013)",,,
92,11.870147509999924,311.94102882822733,"Law Dome (Rubino et al., 2013)",,,
93,12.132119869999997,311.52050972739016,"Law Dome (Rubino et al., 2013)",,,
94,12.233306950000042,312.3293254879136,"Law Dome (Rubino et al., 2013)",,,
95,13.136785700000019,307.4076931745866,"Law Dome (Rubino et al., 2013)",,,
96,13.52038,,,,,
97,14.12664190999999,309.3446868650601,"Law Dome (Rubino et al., 2013)",,,
98,14.290543329999991,307.25859856593024,"Law Dome (Rubino et al., 2013)",,,
99,14.94369888999995,306.3197983876916,"Law Dome (Rubino et al., 2013)",,,
100,16.123575399999936,309.6306260790445,"Law Dome (Rubino et al., 2013)",,,
101,16.40695077999999,307.0755443187391,"Law Dome (Rubino et al., 2013)",,,
